, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
abalone9-18,0.1762,0.1762,0.1762,0.1762,0.1762,0.081,0.1381,0.2048,0.1524,0.1333,0.1524,0.35714285714285715,0.2285714285714285
aps failure,0.5812,0.8681,0.7364,0.5812,0.8681,0.8595,0.4961,0.9177,0.7252,0.8477,0.8656,0.6471177769879151,0.694833240242375
covid,0.0595,0.3257,0.325,0.0595,0.3257,0.7776,0.0072,0.9993,0.4159,0.8042,0.7476,0.23390794529852435,0.2963343197539734
credit card,0.5866,0.7455,0.7455,0.5866,0.7455,0.7402,0.3037,0.8545,0.7447,0.7386,0.7159,0.6817073170731707,0.7752032520325203
diabetes,0.0017,0.345,0.1743,0.0017,0.345,0.2192,0.0008,1.0,0.4365,0.2903,0.5494,0.012767532273323523,0.03958774598343786
ecoli1,0.7378,0.805,0.7688,0.7378,0.805,0.7876,0.7767,0.8315,0.8028,0.8004,0.7666,0.748582995951417,0.7407557354925776
ecoli2,0.8154,0.8231,0.8231,0.8154,0.8231,0.8231,0.8115,0.8539,0.8115,0.8,0.8154,0.7346153846153848,0.7346153846153846
ecoli3,0.5438,0.5494,0.5494,0.5438,0.5494,0.5479999999999999,0.5670000000000001,0.6363,0.5895,0.5329999999999999,0.5428,0.5218954248366013,0.5565359477124183
flare-F,0.079,0.2507,0.2416,0.079,0.2507,0.1535,0.0931,0.7015,0.2007,0.1734,0.2132,0.16428571428571426,0.1264069264069264
glass0,0.7429,0.7971,0.7743,0.7429,0.7971,0.8086,0.7714,0.84,0.8,0.7886,0.7943,0.6857142857142857,0.7457142857142858
glass1,0.5421,0.6105,0.6105,0.5421,0.6105,0.5632,0.4605,0.6658,0.5474,0.5658,0.5816,0.6368421052631579,0.6552631578947368
glass4,0.2024,0.2024,0.2024,0.2024,0.2024,0.1262,0.1119,0.1905,0.1476,0.0976,0.2048,0.6238095238095239,0.4476190476190477
glass5,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.42
haberman,0.2544,0.3038,0.3038,0.2544,0.3038,0.2716,0.2595,0.3293,0.262,0.2745,0.2573,0.26664634146341465,0.2935975609756097
hand positions,0.7833,0.8522,0.8513,0.7833,0.8522,0.8512,0.7784,0.8585,0.8390000000000001,0.848,0.8487,0.5887515044391259,0.8795668362358873
miniboone,0.7121,0.9991,0.8745,0.7121,0.9991,0.9395,0.1565,0.9995,0.8976,0.937,0.9355,0.8365489468741767,0.8567303086601855
mitbih,0.5893,0.6004,0.6004,0.5893,0.6004,0.643,0.591,0.6907,0.6004,0.6275,0.6374,0.4310909976122773,0.5822968234483687
page-blocks,0.7768,0.7997,0.7997,0.7768,0.7997,0.7893,0.7378,0.8212,0.7972,0.7982,0.79,0.7895801331285203,0.8422055811571941
pima,0.5522,0.5582,0.5582,0.5522,0.5582,0.5478,0.5396,0.5694,0.5575,0.5545,0.5582,0.5895522388059702,0.5649253731343283
vehicle1,0.423,0.5042,0.4968,0.423,0.5042,0.4912,0.4137,0.6369,0.4719,0.4802,0.5052,0.4321780496092423,0.43056405028882094
vehicle3,0.4,0.516,0.4877,0.4,0.516,0.4651,0.3859,0.6113,0.4726,0.4972,0.4991,0.4254716981132075,0.3801886792452829
yeast1,0.4354,0.9487,0.6037,0.4354,0.9487,0.627,0.4181,0.9869,0.5855,0.6382,0.6219,0.4661573570962834,0.4540143447076722
yeast3,0.7634,0.8358,0.7916,0.7634,0.8358,0.7988,0.7607,0.9608,0.778,0.81,0.8346,0.7299307437518818,0.6970039144835892
yeast4,0.2008,0.4228,0.3679,0.2008,0.4228,0.298,0.1843,0.6788,0.3094,0.3609,0.2739,0.20323076923076924,0.22369230769230766
yeast5,0.5864,0.6682,0.65,0.5864,0.6682,0.6909,0.5227,0.7546,0.6364,0.6591,0.6727,0.6818181818181819,0.55
yeast6,0.3258,0.4052,0.3549,0.3258,0.4052,0.3546,0.3395,0.6157,0.3673,0.3196,0.3543,0.3947712418300654,0.3486928104575164
